RSSI,actual_cp,RF_cp,SVM_cp,3NN_cp,5NN_cp,7NN_cp,10NN_cp,15NN_cp
"[-78, -79, -74, -49, -63, -53]",E,E,E,E,E,E,E,E
"[-69, -58, -70, -65, -78, -55]",E,C,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -59]",E,D,E,E,E,E,E,E
"[-76, -32, -68, -55, -65, -56]",E,E,E,E,E,E,E,E
"[-67, -52, -69, -62, -73, -62]",E,E,E,E,E,E,E,E
"[-75, -48, -82, -53, -69, -56]",E,E,E,E,E,E,E,E
"[-79, -77, -65, -57, -74, -54]",E,E,E,E,E,E,E,E
"[-80, -79, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-75, -72, -67, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-66, -52, -69, -62, -73, -62]",E,E,E,E,E,E,E,E
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-79, -76, -71, -49, -56, -54]",E,E,E,E,E,E,E,E
"[-81, -67, -71, -61, -64, -48]",E,E,E,E,E,E,E,E
"[-79, -81, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-70, -62, -80, -50, -57, -55]",E,A,A,E,E,E,E,E
"[-70, -68, -85, -59, -50, -58]",A,A,A,A,A,A,A,A
"[-69, -64, -85, -54, -53, -68]",A,A,A,A,A,A,A,A
"[-60, -71, -75, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-60, -74, -77, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-77, -71, -79, -46, -56, -65]",A,A,A,A,A,A,A,A
"[-70, -61, -67, -66, -79, -70]",D,C,D,D,D,D,D,D
"[-74, -70, -68, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-81, -74, -66, -54, -71, -23]",B,E,E,E,E,E,E,E
"[-73, -65, -72, -56, -72, -75]",E,E,E,E,E,E,E,E
"[-62, -47, -66, -66, -88, -66]",E,C,C,C,C,C,C,C
"[-62, -75, -78, -72, -81, -81]",C,D,D,D,D,D,D,D
"[-73, -62, -70, -65, -79, -68]",D,C,D,D,D,D,D,D
"[-66, -52, -75, -60, -76, -57]",E,A,E,E,E,E,E,E
"[-61, -47, -66, -63, -89, -66]",E,D,C,C,C,C,C,C
"[-76, -32, -72, -55, -66, -58]",E,E,E,E,E,E,E,E
"[-79, -81, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-79, -77, -65, -57, -74, -54]",E,E,E,E,E,E,E,E
"[-71, -63, -80, -51, -59, -56]",E,A,A,E,E,E,E,E
"[-62, -75, -78, -72, -81, -81]",C,D,D,D,D,D,D,D
"[-74, -70, -76, -54, -64, -58]",A,E,E,E,E,E,E,E
"[-65, -50, -70, -61, -72, -65]",E,E,E,E,E,E,E,E
"[-55, -67, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-64, -85, -63, -56, -69, -60]",E,E,E,E,E,E,E,E
"[-75, -71, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-55, -66, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-75, -72, -67, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-73, -65, -72, -55, -70, -75]",E,E,E,E,E,E,E,E
"[-64, -72, -64, -55, -71, -59]",E,E,E,E,E,E,E,E
"[-68, -52, -75, -62, -75, -57]",E,A,E,E,E,E,E,E
"[-78, -31, -71, -55, -66, -59]",E,E,E,E,E,E,E,E
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-74, -63, -79, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-89, -79, -85, -61, -63, -60]",A,B,B,B,B,B,B,B
"[-55, -67, -60, -78, -82, -68]",C,C,C,C,C,C,C,C
"[-80, -74, -67, -54, -72, -23]",B,E,E,E,E,E,E,E
"[-60, -53, -71, -60, -77, -66]",C,E,C,C,C,C,C,C
"[-76, -58, -69, -58, -72, -58]",E,E,E,E,E,E,E,E
"[-70, -68, -83, -59, -50, -58]",A,A,A,A,A,A,A,A
"[-81, -53, -66, -52, -61, -61]",E,E,E,E,E,E,E,E
"[-66, -52, -73, -67, -62, -59]",E,D,E,E,E,E,E,E
"[-61, -47, -66, -66, -89, -66]",E,C,C,C,C,C,C,C
"[-61, -67, -66, -67, -72, -66]",D,D,C,C,C,C,C,C
"[-79, -68, -73, -61, -65, -50]",E,E,E,E,E,E,E,E
"[-76, -60, -70, -56, -71, -58]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -60, -76, -49]",B,E,E,E,E,E,E,E
"[-55, -65, -60, -78, -84, -68]",C,C,C,C,C,C,C,C
"[-76, -49, -81, -53, -68, -55]",E,E,E,E,E,E,E,E
"[-62, -46, -65, -64, -80, -65]",E,D,C,C,C,C,C,C
"[-77, -70, -74, -51, -74, -64]",E,E,E,E,E,E,E,E
"[-79, -67, -77, -48, -58, -66]",A,A,E,E,E,E,E,E
"[-69, -63, -84, -54, -52, -68]",A,A,A,A,A,A,A,A
"[-60, -52, -72, -59, -77, -66]",C,E,C,C,C,C,C,C
"[-77, -79, -74, -48, -63, -52]",E,E,E,E,E,E,E,E
"[-69, -57, -70, -65, -81, -55]",E,C,E,C,C,C,C,E
"[-75, -72, -73, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-64, -80, -63, -56, -69, -59]",E,E,E,E,E,E,E,E
"[-73, -63, -80, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-75, -72, -66, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-76, -67, -74, -51, -73, -65]",E,E,E,E,E,E,E,E
"[-76, -72, -86, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-54, -66, -60, -78, -83, -67]",C,C,C,C,C,C,C,C
"[-67, -52, -73, -67, -63, -60]",E,D,E,E,E,E,E,E
"[-87, -68, -82, -62, -60, -59]",B,A,A,E,E,A,A,A
"[-89, -80, -82, -64, -66, -59]",A,B,B,B,B,B,B,B
"[-67, -51, -74, -62, -80, -58]",E,E,E,E,E,E,E,E
"[-68, -57, -71, -58, -74, -54]",E,E,E,E,E,E,E,E
"[-75, -72, -73, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-64, -67, -64, -54, -73, -60]",E,E,E,E,E,E,E,E
"[-75, -72, -86, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-74, -65, -62, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-64, -85, -63, -56, -69, -60]",E,E,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -60]",E,D,E,E,E,E,E,E
"[-77, -31, -70, -55, -65, -58]",E,E,E,E,E,E,E,E
"[-68, -69, -61, -68, -71, -66]",D,D,D,D,D,D,D,D
"[-66, -48, -67, -71, -64, -56]",E,D,E,E,E,E,E,E
"[-70, -63, -80, -51, -60, -56]",E,A,A,E,E,E,E,E
"[-77, -71, -80, -46, -56, -66]",A,A,A,A,A,A,A,A
"[-69, -64, -79, -69, -80, -78]",D,D,D,D,D,D,D,D
"[-77, -62, -76, -54, -61, -65]",E,A,E,E,E,E,E,E
"[-74, -70, -76, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-75, -50, -79, -54, -67, -55]",E,E,E,E,E,E,E,E
"[-76, -56, -76, -55, -59, -65]",E,A,E,E,E,E,E,E
"[-75, -70, -68, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-75, -51, -79, -54, -69, -56]",E,E,E,E,E,E,E,E
"[-65, -64, -76, -73, -79, -73]",D,D,D,D,D,D,D,D
"[-79, -77, -65, -56, -74, -53]",E,E,E,E,E,E,E,E
"[-80, -79, -65, -57, -74, -53]",E,E,E,E,E,E,E,E
"[-76, -53, -76, -57, -60, -63]",E,A,E,E,E,E,E,E
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-75, -71, -79, -47, -56, -67]",A,A,A,A,A,A,A,A
"[-80, -79, -65, -57, -74, -53]",E,E,E,E,E,E,E,E
"[-75, -66, -63, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-64, -64, -65, -58, -70, -70]",C,E,D,E,E,E,E,E
"[-73, -69, -73, -59, -73, -68]",E,E,E,E,E,E,E,E
"[-70, -61, -68, -66, -79, -70]",D,C,D,D,D,D,D,D
"[-73, -63, -80, -60, -53, -58]",B,A,A,A,A,A,A,A
"[-75, -71, -80, -47, -56, -66]",A,A,A,A,A,A,A,A
"[-64, -74, -64, -55, -71, -59]",E,E,E,E,E,E,E,E
"[-78, -74, -65, -54, -74, -54]",E,E,E,E,E,E,E,E
"[-68, -58, -71, -62, -78, -54]",E,E,E,E,E,E,E,E
"[-70, -63, -80, -51, -60, -56]",E,A,A,E,E,E,E,E
"[-74, -60, -72, -47, -70, -46]",E,E,E,E,E,E,E,E
"[-71, -70, -85, -60, -49, -59]",A,A,A,A,A,A,A,A
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-76, -49, -80, -53, -68, -55]",E,E,E,E,E,E,E,E
"[-68, -51, -75, -62, -83, -58]",E,A,E,C,C,C,C,C
"[-61, -75, -78, -73, -81, -81]",C,D,D,D,D,D,D,D
"[-89, -79, -83, -63, -65, -60]",A,B,B,B,B,B,B,B
"[-70, -64, -79, -69, -80, -73]",D,D,D,D,D,D,D,D
"[-68, -64, -79, -69, -80, -78]",D,D,D,D,D,D,D,D
"[-76, -57, -76, -55, -60, -65]",E,A,E,E,E,E,E,E
"[-87, -73, -77, -58, -56, -59]",B,A,E,E,E,E,E,E
"[-77, -79, -74, -48, -63, -52]",E,E,E,E,E,E,E,E
"[-79, -77, -71, -49, -56, -53]",E,E,E,E,E,E,E,E
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-75, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-87, -69, -84, -63, -60, -59]",B,A,A,A,A,A,A,A
"[-75, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-61, -67, -64, -66, -72, -66]",D,D,C,C,C,C,C,C
"[-69, -57, -71, -64, -80, -54]",E,E,E,E,E,E,E,E
"[-73, -60, -72, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-71, -68, -85, -59, -50, -57]",A,A,A,A,A,A,A,A
"[-65, -64, -76, -72, -78, -73]",D,D,D,D,D,D,D,D
"[-77, -31, -73, -54, -66, -58]",E,E,E,E,E,E,E,E
"[-77, -61, -76, -55, -61, -65]",E,A,E,E,E,E,E,E
"[-81, -79, -85, -53, -61, -66]",A,A,A,A,A,A,A,A
"[-65, -64, -65, -58, -69, -69]",C,E,E,E,E,E,E,E
"[-76, -59, -70, -58, -72, -59]",E,E,E,E,E,E,E,E
"[-74, -71, -68, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-74, -72, -73, -47, -64, -50]",E,E,E,E,E,E,E,E
"[-75, -51, -82, -54, -69, -56]",E,E,E,E,E,E,E,E
"[-62, -48, -66, -65, -86, -66]",E,D,C,C,C,C,C,C
"[-79, -76, -71, -49, -56, -55]",E,E,E,E,E,E,E,E
"[-75, -63, -78, -60, -55, -57]",B,A,A,A,A,A,A,A
"[-87, -69, -84, -63, -60, -57]",B,A,A,A,A,A,A,A
"[-55, -65, -60, -78, -84, -68]",C,C,C,C,C,C,C,C
"[-79, -67, -77, -48, -58, -66]",A,A,E,E,E,E,E,E
"[-78, -80, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-72, -70, -73, -59, -73, -68]",E,E,E,E,E,E,E,E
"[-73, -68, -72, -58, -73, -70]",E,E,E,E,E,E,E,E
"[-66, -49, -69, -65, -66, -57]",E,D,E,E,E,E,E,E
"[-81, -67, -71, -61, -64, -47]",E,E,E,E,E,E,E,E
"[-68, -66, -85, -55, -55, -68]",A,A,A,A,A,A,A,A
"[-64, -73, -64, -55, -71, -59]",E,E,E,E,E,E,E,E
"[-80, -78, -65, -57, -74, -53]",E,E,E,E,E,E,E,E
"[-70, -63, -80, -51, -60, -56]",E,A,A,E,E,E,E,E
"[-74, -65, -67, -60, -73, -49]",B,E,E,E,E,E,E,E
"[-60, -75, -77, -73, -81, -80]",C,D,D,D,D,D,D,D
"[-71, -64, -79, -69, -80, -73]",D,D,D,D,D,D,D,D
"[-81, -52, -66, -52, -61, -62]",E,E,E,E,E,E,E,E
"[-71, -63, -80, -51, -59, -56]",E,A,A,E,E,E,E,E
"[-66, -52, -70, -62, -73, -64]",E,E,E,E,E,E,E,E
"[-64, -64, -65, -58, -70, -70]",C,E,D,E,E,E,E,E
"[-82, -72, -85, -56, -64, -55]",E,E,A,A,E,E,E,E
"[-76, -64, -63, -66, -74, -60]",D,D,E,E,E,E,E,E
"[-67, -54, -74, -68, -63, -59]",E,D,E,E,E,E,E,E
"[-61, -67, -68, -66, -72, -66]",D,D,C,C,C,C,C,C
"[-81, -52, -68, -53, -60, -62]",E,E,E,E,E,E,E,E
"[-75, -61, -72, -47, -69, -46]",E,E,E,E,E,E,E,E
"[-66, -49, -69, -65, -66, -57]",E,D,E,E,E,E,E,E
"[-59, -51, -70, -59, -76, -68]",C,E,C,C,C,C,C,C
"[-89, -79, -83, -64, -65, -59]",A,B,B,B,B,B,B,B
"[-82, -68, -73, -61, -65, -51]",E,E,E,E,E,E,E,E
"[-81, -52, -68, -53, -60, -62]",E,E,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -60]",E,D,E,E,E,E,E,E
"[-75, -72, -72, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -60, -74, -48]",B,E,E,E,E,E,E,E
"[-69, -58, -70, -64, -75, -55]",E,E,E,E,E,E,E,E
"[-82, -74, -67, -55, -70, -24]",B,E,E,E,E,E,E,E
"[-75, -63, -78, -60, -54, -57]",B,A,A,A,A,A,A,A
"[-87, -69, -81, -61, -59, -60]",B,A,A,E,E,E,E,A
"[-76, -60, -76, -55, -60, -65]",E,A,E,E,E,E,E,E
"[-82, -74, -67, -55, -70, -24]",B,E,E,E,E,E,E,E
"[-60, -74, -77, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-75, -63, -72, -47, -69, -46]",E,E,E,E,E,E,E,E
"[-68, -57, -71, -58, -74, -54]",E,E,E,E,E,E,E,E
"[-78, -82, -82, -57, -59, -67]",A,A,A,A,A,A,A,A
"[-69, -63, -83, -53, -52, -68]",A,A,A,A,A,A,A,A
"[-80, -75, -71, -50, -56, -54]",E,E,E,E,E,E,E,E
"[-74, -70, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-81, -74, -67, -55, -71, -24]",B,E,E,E,E,E,E,E
"[-87, -73, -77, -59, -56, -59]",B,A,E,E,E,E,E,E
"[-87, -69, -84, -63, -60, -55]",B,A,A,A,A,A,A,A
"[-71, -63, -80, -51, -59, -56]",E,A,A,E,E,E,E,E
"[-82, -77, -86, -56, -60, -65]",A,A,A,A,A,A,A,A
"[-68, -66, -85, -55, -55, -68]",A,A,A,A,A,A,A,A
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-75, -72, -67, -47, -67, -46]",E,E,E,E,E,E,E,E
"[-66, -49, -69, -65, -66, -57]",E,D,E,E,E,E,E,E
"[-65, -52, -74, -66, -62, -57]",E,D,E,E,E,E,E,E
"[-85, -72, -78, -59, -56, -59]",B,A,A,E,E,E,E,E
"[-77, -80, -74, -49, -62, -52]",E,E,E,E,E,E,E,E
"[-87, -69, -84, -63, -60, -59]",B,A,A,A,A,A,A,A
"[-81, -75, -66, -54, -70, -23]",B,E,E,E,E,E,E,E
"[-65, -64, -79, -71, -76, -76]",D,D,D,D,D,D,D,D
"[-66, -52, -74, -66, -62, -59]",E,D,E,E,E,E,E,E
"[-89, -82, -80, -65, -66, -58]",A,B,B,B,B,B,B,B
"[-74, -68, -73, -58, -73, -69]",E,E,E,E,E,E,E,E
"[-74, -63, -80, -60, -52, -58]",B,A,A,A,A,A,A,A
"[-74, -68, -73, -58, -73, -69]",E,E,E,E,E,E,E,E
"[-75, -59, -70, -56, -71, -59]",E,E,E,E,E,E,E,E
"[-76, -58, -69, -58, -72, -58]",E,E,E,E,E,E,E,E
"[-73, -65, -72, -55, -69, -75]",E,E,E,E,E,E,E,E
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-66, -48, -69, -67, -66, -57]",E,D,E,E,E,E,E,E
"[-81, -75, -66, -54, -71, -23]",B,E,E,E,E,E,E,E
"[-68, -58, -71, -61, -76, -54]",E,E,E,E,E,E,E,E
"[-87, -73, -80, -60, -58, -59]",B,A,A,E,E,E,E,E
"[-73, -63, -79, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-75, -67, -63, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-64, -68, -64, -54, -72, -60]",E,E,E,E,E,E,E,E
"[-89, -78, -84, -62, -63, -61]",A,B,B,B,B,B,B,B
"[-65, -63, -66, -58, -69, -69]",C,E,E,E,E,E,E,E
"[-88, -76, -77, -67, -69, -58]",A,B,B,B,B,B,B,B
"[-59, -52, -70, -61, -74, -67]",C,E,C,C,C,C,C,C
"[-80, -79, -65, -57, -74, -53]",E,E,E,E,E,E,E,E
"[-59, -52, -70, -60, -74, -67]",C,E,C,C,C,C,C,C
"[-80, -75, -71, -50, -56, -54]",E,E,E,E,E,E,E,E
"[-72, -71, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-64, -64, -65, -58, -69, -70]",C,E,E,E,E,E,E,E
"[-60, -71, -75, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-69, -64, -84, -54, -52, -68]",A,A,A,A,A,A,A,A
"[-82, -68, -73, -61, -65, -50]",E,E,E,E,E,E,E,E
"[-65, -68, -62, -67, -71, -66]",D,D,D,D,D,D,D,D
"[-75, -59, -70, -57, -71, -59]",E,E,E,E,E,E,E,E
"[-55, -66, -60, -78, -83, -67]",C,C,C,C,C,C,C,C
"[-77, -31, -73, -55, -65, -56]",E,E,E,E,E,E,E,E
"[-78, -74, -65, -53, -74, -54]",E,E,E,E,E,E,E,E
"[-74, -63, -78, -61, -52, -57]",B,A,A,A,A,A,A,A
"[-87, -73, -77, -58, -55, -59]",B,A,E,E,E,E,E,E
"[-66, -49, -68, -71, -64, -57]",E,D,E,E,E,E,E,E
"[-71, -64, -79, -70, -80, -73]",D,D,D,D,D,D,D,D
"[-64, -70, -64, -54, -72, -59]",E,E,E,E,E,E,E,E
"[-78, -79, -74, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-66, -52, -74, -66, -62, -59]",E,D,E,E,E,E,E,E
"[-80, -51, -67, -52, -60, -62]",E,E,E,E,E,E,E,E
"[-76, -49, -81, -53, -69, -55]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -61, -75, -49]",B,E,E,E,E,E,E,E
"[-75, -72, -72, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-77, -80, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-76, -58, -75, -55, -60, -65]",E,A,E,E,E,E,E,E
"[-65, -65, -65, -59, -69, -69]",C,E,E,E,E,E,E,E
"[-70, -63, -80, -51, -60, -56]",E,A,A,E,E,E,E,E
"[-55, -67, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-77, -58, -76, -56, -61, -65]",E,A,E,E,E,E,E,E
"[-64, -69, -64, -54, -72, -59]",E,E,E,E,E,E,E,E
"[-75, -71, -78, -47, -57, -67]",A,A,A,A,A,A,A,A
"[-74, -63, -79, -61, -53, -58]",B,A,A,A,A,A,A,A
"[-75, -70, -77, -53, -63, -58]",A,E,E,E,E,E,E,E
"[-80, -73, -67, -55, -71, -23]",B,E,E,E,E,E,E,E
"[-89, -77, -85, -62, -63, -60]",A,E,B,B,B,B,B,B
"[-59, -50, -70, -58, -77, -68]",C,E,C,C,C,C,C,C
"[-74, -63, -80, -60, -53, -58]",B,A,A,A,A,A,A,A
"[-69, -65, -85, -54, -54, -68]",A,A,A,A,A,A,A,A
"[-60, -50, -70, -59, -79, -68]",C,E,C,C,C,C,C,C
"[-83, -67, -71, -61, -65, -46]",E,E,E,E,E,E,E,E
"[-73, -70, -76, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-64, -69, -81, -64, -82, -66]",D,A,C,C,C,C,C,C
"[-66, -48, -67, -71, -64, -56]",E,D,E,E,E,E,E,E
"[-62, -75, -78, -72, -81, -81]",C,D,D,D,D,D,D,D
"[-60, -52, -71, -59, -75, -66]",C,E,C,C,C,C,C,C
"[-76, -70, -74, -51, -74, -64]",E,E,E,E,E,E,E,E
"[-74, -72, -86, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
