_id,gp1,gp13,gp14,gp2,gp20,gp25,gp30,gp35,gp7,gp8
6168792f1ed3b6e16855e649,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-56,-56,-56,-56,-56,-56,-56,-57,-57,-57,-57,-57,-57,-57,-57,-57,-64,-64,-64,-64,-64,-64,-56,-56,-56,-56,-56,-56,-56,-56,-67,-63]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-66,-66,-66,-66,-66,-68,-68,-68,-65,-65,-64,-64,-64,-64]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-68,-68,-67,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-66,-66,-66,-68,-68,-68,-68,-68]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-74,-74,-74,-74,-72,-72,-72,-72,-72,-70,-70,-70,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-79,-79,-94,-94,-94,-94,-94,-94,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-78,-78,-78,-78,-78,-78,-78,-78]}]",,,,,,
616879391ed3b6e16855e64a,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-63,-63,-63,-61,-61,-61,-61,-61,-61,-61,-65,-65,-65,-65,-65,-65,-65,-60,-60,-60,-60,-60,-60,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,-64]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-62,-62,-62,-62,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-66,-66,-66,-66,-66,-66,-66]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-70,-68,-68,-68,-68,-68,-68,-68,-68,-69,-69,-71,-71,-71,-71,-70,-70,-70,-70,-70,-70,-70,-70,-66,-66,-66,-66,-66,-66]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-73,-73,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-76,-76,-76,-76]}]",,,,,,
616879451ed3b6e16855e64b,,,,"[{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-61,-61,-61,-61,-61,-61,-61,-61,-67,-67,-67]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-67,-67,-67,-67,-65,-65,-65,-65,-65,-64,-63,-63,-63,-63,-63,-63,-68,-68,-69,-69,-69,-69,-69,-69,-69,-65,-65,-65,-65,-65]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-68,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-74,-74]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-72,-72,-72,-72,-72,-72,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-73,-73,-74,-74,-74,-74,-74,-73,-73,-74,-74,-74,-74,-74,-74]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-82,-82,-82,-82,-82,-82,-82,-80,-80,-80,-80,-80,-80,-80,-80,-81,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-77,-77,-77,-77,-77,-77,-77]}]",,,,,,
616879501ed3b6e16855e64c,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-61,-61,-61,-61,-58,-58,-58,-58,-58,-58,-58,-58,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-62,-77]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-63,-63,-63,-63,-63,-66,-66,-67,-67,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-71,-71,-71,-71]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-65,-65,-65,-65,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-67,-67,-67,-67,-67,-67,-68,-68,-67,-67,-67,-67,-67]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-81,-80,-80,-80,-80,-80,-80,-80,-80]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-76,-76,-76,-76,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-73,-73,-73]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-95,-95,-94,-94,-94,-94,-94,-94,-90,-90,-90,-90,-90,-86,-86,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84]}]",,,,,,
616879591ed3b6e16855e64d,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-70,-70,-58,-58,-58,-58,-56,-56,-56,-56,-56,-58,-58,-58,-58,-58,-57,-57,-57,-57,-57,-57,-58,-58,-58,-58,-58,-60,-60,-60,-60,-65,-65]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-64,-64,-64,-64,-64]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-68,-68,-68,-68,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-70,-70,-70]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-76,-76,-76,-76]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-75,-75,-75,-75,-75,-75,-75,-75,-74,-74,-74,-72,-72,-72,-72,-72,-72,-74]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-84,-84,-84,-84,-84,-84,-84,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-85,-85,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86]}]",,,,,,
6168797c1ed3b6e16855e64e,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-31,-31,-31,-31,-31,-32,-32,-33,-33,-33,-33,-33,-32,-32,-31,-31,-31,-31,-31,-31,-32,-32,-32,-32,-32,-32,-32,-31,-31,-31,-31,-31]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-75,-75,-75,-75,-75,-72,-72,-72,-72,-67,-67,-67,-67,-67,-65,-65,-65,-65,-65,-65,-65,-68,-68,-68,-68,-68,-68,-68]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-72,-69,-69,-69,-69,-69,-69,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-69,-69,-69,-69]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-89,-89,-89,-89,-89,-89,-89,-80,-80,-80,-80,-80,-80,-80,-80,-80,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-77,-78,-78,-78,-78,-78,-78,-75,-75,-75,-75,-75,-75,-75,-75,-82,-82,-82,-82,-82,-82,-82,-82,-78,-78,-78,-78,-78,-84,-84,-84]}]",,,,,,,,,
616879921ed3b6e16855e64f,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-31,-31,-31,-31,-38,-38,-38,-38,-50,-51,-51,-51,-51,-50,-50,-50,-50,-50,-52,-52,-52,-52,-52,-47,-47,-47,-47,-41,-41,-41,-41,-41,-41,-41]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-70,-70,-73,-73,-73,-73]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-73,-73,-73,-73,-73,-75,-75,-75,-75,-75,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-80]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-80,-80,-75,-75,-73,-73,-73,-72,-72,-72,-72,-72]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-79,-79,-79,-79,-86,-86,-86,-86,-86,-86,-86,-86,-86]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-84,-84,-84,-89,-89,-89,-89,-89,-89,-89,-89,-89,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88]}]",,,,,,,,,
6168799f1ed3b6e16855e650,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-47,-47,-47,-51,-51,-51,-51,-47,-47,-47,-47,-47,-47,-48,-48,-48,-48,-48,-48,-47,-47,-48,-48,-48,-48,-47,-47,-47,-47,-47,-47,-47]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-71,-71,-71,-71,-71,-71,-71,-67,-67,-67,-67,-67,-67,-67,-67,-74]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-75,-75,-75,-75,-75,-75,-75,-72,-72,-72,-72,-72,-72,-74,-74,-74,-74,-74,-73,-73,-73,-73,-73,-73,-73,-69,-69,-69,-69,-69,-69,-69,-69]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-75,-75,-75,-75,-75,-75,-75,-80,-80,-80,-80,-80,-80,-80,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-78,-78,-78,-76,-76,-76,-76,-84,-84,-84,-84,-74,-74,-74,-74,-74,-74,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-79,-77,-77]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-90,-90,-90,-90,-90,-90,-95,-95,-95,-95,-95,-95,-90,-90,-90,-90,-90,-90,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81]}]",,,,,,,,,
616879b51ed3b6e16855e651,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-43,-43,-43,-43,-43,-43,-44,-44,-43,-43,-43,-43,-43,-43,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-42,-42,-42,-42,-47,-47,-47,-48,-48]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-67,-67,-67,-67,-67,-67,-67,-67,-69,-71,-71,-71,-71,-71,-71,-69,-68,-68,-68,-68,-68,-68]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-71,-71,-71,-71,-71,-71,-70,-70,-70,-70]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-79,-79,-79,-79,-79,-79,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-79,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-85,-85,-85,-85,-80,-80,-80,-80,-80,-78,-78,-78,-78,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-84,-84,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-86,-86,-84,-84,-84,-84,-84,-84,-84,-84,-82,-82,-82,-82,-82,-82,-82,-82]}]",,,,,,,,,
616879d01ed3b6e16855e652,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-27,-27,-27,-28,-28,-28,-28,-28,-28,-28,-27,-27,-27,-27,-27]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-72,-72,-72,-72,-72,-72,-72,-77,-77,-77,-77,-77,-74,-74,-74,-74,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-71,-71,-71,-71,-71,-71]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-73,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-81,-81,-81,-81]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-69,-69,-70,-70,-70,-70,-69,-69,-69,-69,-69,-69,-76,-76,-77,-77,-77,-68,-68,-68,-68,-68,-74,-74,-74,-74,-74,-71,-94,-94,-94,-94,-94,-94,-89]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-88,-88]}]",,,,,,,,,
61687aea1ed3b6e16855e653,,,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-49,-49]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-61,-61,-61,-61,-61,-61,-61,-56,-56,-56,-56,-56,-56,-56,-56,-67,-67,-67,-67,-67,-67]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-74,-74,-72,-72,-72,-72,-72,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-62]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-60,-60,-60,-60,-60,-60,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-62,-76,-76,-76,-76,-76,-77,-77,-77,-77,-77,-85,-85,-85]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-69,-69,-69,-75,-75,-75,-75,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-76,-76,-75,-75,-75,-75,-75,-74,-74,-74,-75,-75,-75,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-77,-77,-77,-80,-80,-80,-80,-80,-80,-80]}]",,,,
61687af81ed3b6e16855e654,,,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-55,-58,-58,-58,-58,-52,-52,-52,-54,-54,-54,-55,-55,-55,-55,-55,-55,-55,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-65,-65,-65,-65,-65,-65,-65,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-63,-63,-63,-63,-63,-63,-62,-62,-62,-62,-62,-62,-62]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-70,-70,-69,-69,-69,-69,-69,-69,-69,-69,-70,-70]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-74,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-68,-68,-68,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-68,-68,-68,-68,-68]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-75,-75,-75,-75,-75,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-78,-78,-78,-78,-78,-78,-78,-78]}]",,,,
61687b121ed3b6e16855e655,,,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-52,-52,-56,-56,-56,-56,-56,-55,-56,-56,-56,-56,-56,-57,-57,-57,-57,-54,-54,-54,-54,-50,-50,-50,-53,-53,-53,-53,-53,-53,-53,-53,-51]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-66,-66,-66,-66,-66,-66,-66,-66,-63,-63,-63,-63,-63,-63,-63,-63,-63,-62,-62,-66,-66,-66,-66]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-63,-63,-63]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-75,-75,-75,-75,-75,-75,-69,-69,-69,-69,-69,-69,-69,-69,-68,-68,-68,-68,-68,-87,-87,-87,-68,-68,-68,-68,-68]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-68,-68,-68,-75,-75,-75,-75,-75,-65,-65]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-78,-78,-77,-77,-77,-77,-77,-77,-75,-75,-75,-75,-75,-75,-76,-78,-78,-78,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74]}]",,,,
