_id,gp25,gp26,gp27,gp28,gp30,gp31,gp32,gp35,gp36,gp37
6168e94f23cb1643c62cfef4,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-45,-45,-45,-45,-45,-45,-45,-48,-48,-47,-47,-47,-43,-43,-43,-43,-43,-47,-47,-47,-47,-47,-47,-46,-46,-46,-46,-46,-46,-46,-46,-47,-47,-47]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-60,-60,-60,-61,-61,-61,-61,-61,-61,-61,-60,-60,-59,-59,-59,-59,-59,-59,-59,-59,-59,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-58,-58]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-71,-71,-71,-71,-71,-71,-71,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-72,-72,-72,-72,-72,-72,-72,-72,-72,-71,-71,-71,-71,-71,-71,-71,-71,-75,-75,-75,-75,-75,-75,-75,-75,-75,-74,-74,-74,-74,-74,-75,-75,-75,-75]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-72,-72,-72,-72,-72,-72,-72,-74,-74,-74,-74,-74,-72,-72,-72,-72,-72,-75,-75,-75,-75,-75,-75,-74,-74,-74,-74,-74,-74,-74,-74]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-78,-78,-78,-78,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-78,-78,-78,-78,-78,-78,-78,-78,-78,-82,-82,-82,-82,-82,-82,-73]}]",,,,,,,,,
6168eae923cb1643c62cfef5,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-52,-52,-52,-52,-52,-52,-52,-54,-54,-54,-54,-54,-54,-54,-54,-61,-61,-61,-61,-61,-61,-61,-61,-61,-53,-52,-52,-52,-52,-52,-52,-52,-52,-54]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-60,-60,-60,-60,-60,-60,-60,-60,-60,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-62,-62,-62,-64,-64,-64,-64]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-66,-66,-66,-66,-66,-68,-66,-66,-66,-66,-66,-66,-66,-66,-66,-71,-71,-72,-72,-72,-72,-72,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-63,-63,-63]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-70,-70,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-66,-66,-66,-66,-66,-66,-68,-68,-68,-68,-68,-68]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-73,-73,-72,-72,-69,-69,-69,-69,-69,-69,-69,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-80,-80,-80,-80,-80]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-76,-76,-76,-76,-76,-76,-76,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-71,-71,-71,-71,-71,-71,-71,-71,-71,-69,-69]}]",,,,,,,,,
6168eb0023cb1643c62cfef6,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-60,-60,-60,-60,-60,-60,-60,-60,-60,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-73,-73,-74,-72,-72,-72,-72,-72,-72,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-71,-71,-71,-76,-76,-76,-76,-77,-77,-77,-77,-77,-77,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-75,-75,-75,-75,-75,-81,-81,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-76]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-81,-81,-81,-80,-80]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-80,-80,-80,-80,-80,-80,-80,-80,-82,-82,-82,-82,-82,-82,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-82,-82,-82,-82]}]",,,,,,,,,
6168eb1323cb1643c62cfef7,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-50,-50,-48,-48,-48,-48,-48,-48,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-64,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-65,-65,-65,-65,-65,-65,-61,-61,-61,-61]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-70,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-81,-81,-81,-81,-81,-81,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-80,-80,-80,-80,-80,-80]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-90,-90,-90,-81,-81,-80,-80,-80]}]",,,,,,,,,
6168eb2823cb1643c62cfef8,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-54,-54,-54,-54,-54,-54,-54,-55,-55,-55,-55,-55,-55,-55,-55,-54,-54,-54,-54,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-54,-54,-54]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-68,-68,-66,-66,-66,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-77]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-67,-67,-67,-67,-67,-68,-68,-68,-68,-67,-67,-67,-67]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-82,-82,-82,-82,-82,-82,-82,-82,-82,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85]}]",,,,,,,,,
6168eb7923cb1643c62cfef9,,,,,"[{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-64,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-60,-60,-60,-60,-60,-60,-60]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-63,-66,-66,-66,-68,-68,-67,-67,-67,-67,-67,-60,-60,-60,-60]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-65,-65,-63,-63,-63,-63,-63,-63]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-70,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-64,-64,-64]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-69,-69,-69,-71,-71,-71,-70,-70,-70,-70,-70,-70,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68]}]",,,,,
6168ebb123cb1643c62cfefa,,,,,"[{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-61,-81,-81,-63,-63,-63,-63,-63,-61,-58,-58,-58,-58,-63,-63,-63,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-68,-68,-68]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-64,-64,-64,-64,-64,-64,-81,-81,-81,-81,-81,-80,-80,-80,-80,-65,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-68]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-64,-64,-64,-68,-68,-68,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-87,-87,-87,-87,-87,-87,-87,-87,-64,-64,-64,-64,-64]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-81,-81,-81,-81,-81,-81,-81,-81,-81,-65,-67,-67,-82,-62,-62,-62,-81,-81,-66,-66]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-82,-82,-82,-82,-82,-82,-77,-77,-77,-77,-77,-77,-77,-77,-70,-70,-70,-72,-72,-72,-72,-72,-72]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-66,-66,-66,-66,-66,-66,-82,-82,-82,-82,-82,-82,-71,-71,-71,-71,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86]}]",,,,,
6168ebcf23cb1643c62cfefb,,,,,"[{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-56,-74,-74,-74,-74,-74,-74,-74,-56,-56,-56,-56,-56,-56,-56,-56,-60,-60,-56,-56,-56,-56,-56,-56,-62,-62]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-82,-82,-66,-66,-66]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-68,-65,-65,-65,-65,-65,-65,-65,-65,-65,-84,-68,-68,-68,-68,-68,-67,-67,-68,-68,-68,-68,-68,-68,-68,-68,-66,-66,-66,-66,-66,-66]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-83,-83,-69,-69,-69,-69,-69,-80,-80,-80,-67]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-61,-61,-61,-61,-61,-61,-60,-60,-60,-60,-60,-60,-62,-62,-62,-78,-78,-78,-78,-78,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71]}]",,,,,
6168ebed23cb1643c62cfefc,,,,,"[{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-50,-50,-50,-50,-50,-50,-50,-50,-51,-51,-52,-52,-63,-63,-63,-64,-64,-64,-80,-80,-79,-79,-79,-79,-79,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,-63]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-72,-72,-69,-69,-69,-69,-67,-67,-65,-65,-65,-65,-65,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-52,-66,-66,-66,-66,-66,-88,-88,-88,-88,-88,-88,-70,-70,-70,-72,-72,-72,-72]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-83,-83,-83]}]",,,,,
6168ec0123cb1643c62cfefd,,,,,"[{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-67,-65,-65,-65,-65,-65,-64,-64,-64,-64,-64,-64,-64,-64,-66,-66,-66,-66,-66,-66,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-70,-70,-70,-63,-63,-63,-63,-65,-65,-65,-65,-58,-58,-58,-58,-58,-58,-61,-61,-61]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-67,-67,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67]},{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-70,-70,-70,-70,-70,-68,-68,-68,-68,-70,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-73]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-73,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-71,-71,-71,-71,-71,-71]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-72,-72,-72,-72,-72,-72,-77,-77,-77,-77,-77,-76,-76,-76,-76,-75,-75,-75,-76,-76,-76,-76]}]",,,,,
6168ec6c23cb1643c62cfefe,,,,,,,,"[{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-58,-60,-60,-60,-60,-62,-62,-62,-62,-62,-62,-62,-62,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-57,-57,-57,-57,-56,-56,-57,-57]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-74,-74,-74,-74,-74,-74]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-73,-73,-73,-73,-73,-73,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-74,-74,-74,-74,-74,-74,-74]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-90,-90,-90,-90,-90,-90,-90,-90,-94,-94,-94,-94,-94,-94,-94,-94,-94,-89,-89,-89,-89,-89,-89,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87]}]",,
6168ec9d23cb1643c62cfeff,,,,,,,,"[{""BSSID"":""C3:88:F6:29:A9:DE"",""RSSIs"":[-49,-49,-49,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-55,-55,-55,-55,-55,-55,-55]},{""BSSID"":""FD:82:B0:4C:91:BF"",""RSSIs"":[-70,-70,-70,-70,-70,-70,-67,-67,-67,-67,-67,-69,-69,-69,-69,-69,-69,-69,-69,-69,-66,-66,-66,-66,-66,-66,-66,-66,-66]},{""BSSID"":""CE:E4:05:BE:70:CD"",""RSSIs"":[-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-67,-67,-67,-67,-67,-67,-67,-67,-70,-70,-70]},{""BSSID"":""C7:F8:C6:2F:15:BB"",""RSSIs"":[-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-70,-70,-70,-70,-70,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69]},{""BSSID"":""D2:8C:33:3D:CC:0C"",""RSSIs"":[-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-80,-80,-80,-80]},{""BSSID"":""EE:AF:B9:2E:2C:33"",""RSSIs"":[-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-84,-84,-84,-84,-85]}]",,
